guid,description,typology
bdb21bb2-73b0-45d5-bbef-ee629718e59d,Блокнот-памятка. К сведению делегатов XXVI съезда КПСС.,предметы печатной продукции
45792e35-55f7-485b-a784-ec4176b24498,Этикетка спичечная (лист из 3 этикеток). Цирк СССР. Лев. Клоун-жонглер. Жонглер.,предметы печатной продукции
3593f041-6a22-4152-b0e5-b91237a7fd02,Наличник.,предметы археологии
9d0f79fd-915a-418a-a788-260bfde91c11,Медаль наградная. За взятие Берлина. СССР,предметы нумизматики
34538879-34a1-4a69-9bfc-1187283e169e,Мандат Намдакова Г.,документы
9f9967db-43a2-4f49-bcb0-67517158097d,"Газета. Газета. Советская мысль. Орган Великоустюгского РАЙКОМА ВКП(б), РИКа, РСПС и ГОРСОВЕТА. Великий Устюг, № 259 от 11 ноября 1933 года.",предметы печатной продукции
ca7f6f84-5e93-4363-8ea6-35dfd73c9183,Склянка аптечная,"предметы прикладного искусства, быта и этнографии"
2eeefebe-609b-4fb2-b5ab-6e11644f1acc,Этикетка спичечная (лист из 3 этикеток). Мехико 68. Олимпийские кольца. Олимпийский огонь. Волейбол.,предметы печатной продукции
ec113cc2-953f-441a-8946-dc03e64c1659,Фотография участника Великой Отечественной войны Заозёрского Василия Прокофьевича,фотографии и негативы
ede33732-8705-4f12-a8ca-c3ec6322af1e,Фотография,фотографии и негативы
8e094853-73fd-4043-ba5a-1609182c14f1,Чучело. Малый черноголовый дубонос (Eophona migratoria),предметы естественнонаучной коллекции
0f13d695-7834-4266-9b52-6d24d0f04654,Фотография. Портрет участника Великой Отечественной войны Хонзарова Егора Моисеевича.,фотографии и негативы
b2a77160-f33d-491a-9578-acc1a75bde26,"Комплект открыток. ""Ульяновск"" (в обложке): Областной художественный музей. Областной Краеведческий музей им. И.А Гончарова. ( Из личного архива Абрамова В.М.)",предметы печатной продукции
995694b7-38ea-42ad-8164-39351b903ce1,Бюллетень (№ 3),предметы печатной продукции
62eab614-57f8-46f4-9a77-4826b8fb61a9,"Газета. Газета. Советская мысль. Орган Великоустюгского РАЙКОМА ВКП(б), РИКа, РСПС и ГОРСОВЕТА. Великий Устюг № 113 от 18 мая 1933 года.",предметы печатной продукции
546e656d-4cc4-4696-95d4-461bc93f2ec1,Ключ,прочие
c1e189f0-3e67-488c-ac25-1c3fbba24a2a,"Пионерское катание на лодках, негатив стеклянный",фотографии и негативы
f4e6e445-7d5b-4782-b847-469cbdbcc52d,"Книга. Пушкин. Книга первая. (1813-1824). Ответственный редактор В.Г.Базанов. /Академия наук СССР, Институт русской литературы (Пушкинский Дом)/. - М.-Л.: Издательство АН СССР, 1956.",редкие книги
b7e9ecb3-e12b-41ef-8125-06f7682b3440,"Картина. Боткин Ф.В. (1861-1905) «Натурщица». Изображена обнажённая по пояс девушка, одной рукой придерживающая у груди сиреневое покрывало.",живопись
4004b675-7380-41d2-bf2c-c6781e28f217,Листы нотные. Корепанов- Камский Г. Квартет № 3 для двух скрипок альта и виолончели. Часть 2.,документы
bd457c94-0bc8-48d2-989b-9762d0f3d7be,"Газета. Газета. Советская мысль. Орган Великоустюгского РАЙКОМА ВКП(б), РИКа, РСПС и ГОРСОВЕТА. Великий Устюг, № 235 от 11 октября 1933 года.",предметы печатной продукции
f4905b4e-b517-4d67-96ae-ab780931b281,Фото. Пингвины с птенцами в районе Холмов Ларсеманн Антарктиды.,фотографии и негативы
6eacbef4-9b87-481a-b472-42650010ecde,Пузырёк медицинский.,предметы техники
d928f963-52bc-467d-8f30-1440ca8496c2,Газета. Новый путь (Газета № 79 от 15 мая),предметы печатной продукции
62e11889-f845-43ea-9a98-3b19654dc74f,Книга. Корейский полуостров в новой международной обстановке. Сборник докладов Международного симпозиума.,предметы печатной продукции
e36c7432-b267-40af-b10d-dd2da6fac96f,Этикетка спичечная (лист из 3 этикеток). Уничтожайте вредителей сельскохозяйственных растений. Кукурузный мотылек. Вишневая муха. Яблонная моль.,предметы печатной продукции
b9281b0d-832b-4642-a7a4-90953f0fbd19,"Знак ""Мировой судья. 20 ноября 1864""",предметы нумизматики
34e9c08c-8781-42d7-9be9-ed4e26ba4d9f,Флакон-бутылочка,"предметы прикладного искусства, быта и этнографии"
174237ad-0f87-40de-840c-4339898101b4,"Газета ""Восточное обозрение"". 21 июня 1884 г. №25",документы
c9e6eee1-06a5-43c6-a875-5c4611b80cbb,Фото. Склад соли. Химзавод,фотографии и негативы
63d2c71e-05e9-4018-9973-b9a95a51e1d0,Подвеска из зуба песца.,предметы археологии
d98f2f84-3d9a-406a-baa8-10de6afa3d18,Бляшка.,предметы археологии
44e22ff9-23cd-4482-a240-e34255cd5a34,Фото. Склады ЛВЖ - станция прормывки. Шлаконакопитель. Химзавод,фотографии и негативы
0777c7e3-17d2-4105-af39-7b8293de6c78,Членский билет № 11 Ульяновского Союза советских художников. Выдан скульптору Васильеву Григорию Васильевичу. г. Ульяновск. 20 ноября 1945 г.,документы
72eb41a5-3656-4a73-9dcc-a12ea3cde718,Фотография. Женщины из д. Орловское во время полевых работ.,фотографии и негативы
32731e09-6793-407a-aed6-77ab6b84b728,Фрагмент оболочки конкреции,предметы естественнонаучной коллекции
f397e336-b2ae-47c7-aa17-c5f84fa2ed05,Фрагмент керамического сосуда с орнаментом,предметы археологии
513498c8-24fd-4462-851b-a36ce17001b6,Фотография ч\б. Встреча участника гражданской и Великой Отечественной войны А.П Горопашного с личным составом воинской части 95988.,фотографии и негативы
e5d2da63-3700-4cee-bbc9-853b99bd59c5,Монета номиналом пять копеек времен царствования Екатерины II (из клада),предметы нумизматики
6d27df2f-05f8-4552-9259-294fb339ae22,"Тарелочка, из кофейного сервиза","предметы прикладного искусства, быта и этнографии"
7161f01b-5ca3-427f-9a0a-74ce61509e40,Фотокарточка Кадр из фильма «Иван Васильевич меняет профессию». Юрий Яковлев,фотографии и негативы
73775483-9666-4772-8876-303db4cc957c,Фотография. Выступление С. Н. Клепининой с трибуны на митинге.,фотографии и негативы
87f67415-0af7-4069-8ca7-206c7affed33,Петух. Дымковская игрушка,"предметы прикладного искусства, быта и этнографии"
8935b56a-8c65-46b0-972f-593fe4facbc2,Монета 5 копеек.,предметы нумизматики
2f66abc4-f314-4188-9e03-860e9e3fe09b,"Копейка ""мечевая"". Иоанн IV.","предметы прикладного искусства, быта и этнографии"
e17f0ee6-9a37-4615-a9ba-57e66025fb5b,Грампластинка виниловая,прочие
53fd02cb-9f1d-4872-b1e9-25752d23ba90,"Газета ""Ленинградская правда"" от 30 июля 1943 года",предметы печатной продукции
ac541ff5-736c-457a-8129-e3cc86e20025,Историческая справка по д.Антоновка Серышевского района.,документы
8c987a6b-74c3-492e-913b-06a2c5511efb,"""Подвиг красноармейца Тычкова"". Рисунок",графика
6edcfdbd-496a-4f59-9790-57c4125076d3,"Значок нагрудный ""V летняя спартакиада народов РСФСР 1971. Группа обслуживания""",предметы нумизматики
6a60dad0-b669-403e-b072-cee34a04984a,Обломок гончарного сосуда,предметы археологии
64d3803d-bac1-4393-acb4-74dcc817b3ab,Сувенир- лента с портретом Юлиуса Фучика.,прочие
9c7bacac-521c-4d89-802e-cf1964a9657a,Монета 5 копеек.,предметы нумизматики
3be8afcd-a74b-457f-ba68-d869ae4b9846,Экслибрис С. Ивенского. Черт демонстрирует эстампы,графика
73920842-8a47-47fe-9115-ea9f7b23892b,Фотопортрет М.С. Спиридонова.,фотографии и негативы
3bea6f83-ba3e-417d-b3d9-dc26c140bff4,"Монета разменная ""15 копеек""(1949 год)",предметы нумизматики
da308d14-94c2-43eb-8053-1f6b8ff8a9ef,"Картина ""Деревня Гридино""",живопись
309d1691-ac51-44b1-afa4-40414aff1be5,"Значок ""Воин-спортсмен"" (2 разряд)",предметы нумизматики
6dbd0109-120d-4ce3-ba4a-65b43649175e,"Открытка. Москва. Памятник Александру II. Комплект из 16 открыток «Виды древней Москвы. 1903», НПО «Прогресс».",предметы печатной продукции
73f1a09d-fb45-40ce-8dbe-58f4a3f7044c,Предмет быта. Полотенце.,"предметы прикладного искусства, быта и этнографии"
d7e25265-a0c5-4924-ac2c-0ced44ba0f10,"Карточка учетная члена профсоюза рабочих машиностроения М.Т. Калашникова, с цв. фотографией М.Т. Калашникова.",документы
3180a02e-9cee-473c-bc89-fcb584ea6ac6,"Фотография сюжетная. Д.Г.Паротиков беседует со старым колхозником, местным жителем села Топчиха Алтайского края",фотографии и негативы
1f463855-8c55-46b4-a506-5b324a342e73,Монета. 5 копеек 1881 года. Медь.,предметы нумизматики
dc0f9074-8d75-4581-b515-c6e83359841c,"Фотография. Подкормка озимых в колхозе имени Калинина. Из комплекта ""Фото на сельскохозяйственные темы"".",фотографии и негативы
4a3907ef-a9da-460d-9a59-20d050257f46,Фотоснимок сюжетный. Выступление З.Н. Фоменко на сессии.,фотографии и негативы
9e9dd487-b200-4093-a02e-338c4b4f5c1c,Фотография. Бригадир Худякова Т.Ф. делится с членами бригады своим опытом (Кунгурский кожкомбинат) 1959 г.,фотографии и негативы
55a26dd9-6603-4ebd-96fb-080c52bcfc2f,Фрагмент керамического сосуда с орнаментом,предметы археологии
55b15ce0-d7a3-4e16-a03b-27245cd1aca9,Фрагмент керамического сосуда с орнаментом,предметы археологии
b2000274-6663-4a08-a6ae-3cfe57901306,Подсвечник.,"предметы прикладного искусства, быта и этнографии"
547fce31-d257-414a-a17a-987f5923b577,"Газета ""Кабардинская  правда"".",предметы печатной продукции
0283233d-ed25-413c-9e2f-760587e7824a,"Бумажный денежный знак. Государственный  кредитный билет ""25 рублей"" образца 1918 г.",предметы нумизматики
152f2d04-6d2e-4e58-a806-f5031ec6a78d,"Журнал. Старые годы. Ежемесячник для любителей искусства и старины. Январь, февраль, март, апрель, май 1911.  Санктпетербург, тип. «Сириус», 1911. (5 выпусков в одном переплете).",редкие книги
91ef65df-64f9-424c-9697-dfaaccf860b6,"Журнал. Столица и усадьба. Журнал «красивой жизни».  № 53. 1 марта 1916 г.  Редактор-издатель Вл. Крымов. Петроград, Товарищество Р. Голике и А. Вильборг, 1916.",редкие книги
f29bf9a2-215e-49d9-89f2-746fc487fdce,"Газета ""Кабардинская  правда"".",предметы печатной продукции
590a4d8e-d109-48a3-87c5-e1163552066f,Хохлома - Чашка кофейная,"предметы прикладного искусства, быта и этнографии"
579b56d8-8407-4888-8b20-7e76713821ef,Фотография. С.Н Клепинина с сигаретой.,фотографии и негативы
3a79f804-f161-4348-b65c-efb7f19d4096,"Газета ""Кабардинская  правда"".",предметы печатной продукции
d6c30f56-8503-4d7e-8e88-2779bd014693,"Фотография ""Подписная кампания 1958-1959 гг."" из цикла фотографий ""Подписка на периодическую печать в с. Орехово""",фотографии и негативы
5c53b29a-0a93-4a1d-8a79-2e0310828903,Копейка. Фёдор Иоаннович.,"предметы прикладного искусства, быта и этнографии"
e138e64b-38da-4f7f-aa10-e571cdb13530,"Сборник. Четвертые Уральские академические чтения. Екатеринбург: УРО РААСН, 1999 г. – 162 стр.",предметы печатной продукции
e2e8c046-3872-4794-9774-296d71cfcf68,Фотография. Группа из 4 человек в комнате (С.Н. Клепинина - 3-я слева).,фотографии и негативы
28977120-843d-4d11-87ea-e404a1403f8f,"Флажок. Флажок бумажный, из комплекта флажков бумажных елочных",предметы печатной продукции
a371ab9c-5a05-4830-adcd-2c3c963e10c6,Протокол заседания городской комиссии,документы
483c821c-1520-408f-80bd-97e6df2a4232,Фото. Женщина лезгинка из аула Куруш,фотографии и негативы
b49286d8-fb28-4ec4-a3cd-be8510da01c1,Фрагмент тулова лепного сосуда с орнаментом,предметы археологии
f1ed1059-5500-43f7-80b3-a81d2c01780e,Седло для лошади.,прочие
e7d0105f-8c62-4595-ba6c-04c8e6211097,"Фотография. «Еделева В.А. – кандидат в депутаты Верховного Совета РСФСР, зам. директора по учебно-воспитательной работе Дарасунской средней школы №3»",фотографии и негативы
d9be0155-76c6-48df-b945-0493634f2ec5,Фрагмент тулова лепного сосуда с орнаментом,предметы археологии
78657032-6228-403a-9d83-498f5dacc752,Аршин складной,"предметы прикладного искусства, быта и этнографии"
55bd94a5-1c9f-4c13-a9f9-8d71964a6b03,Отщеп.,предметы археологии
da31c117-e3af-4118-b9e7-a25340064370,"Декоративное блюдо ""Море""","предметы прикладного искусства, быта и этнографии"
4a9d9b9e-f7e2-440c-b967-0bfcba8d36d6,Книги межевые. Межевые книги пожни Перевес Ростовского Спасо-Яковлевского монастыря.,документы
0cfb4207-ab72-4efe-b467-ce2ce6557ca9,Фрагмент тулова лепного сосуда,предметы археологии
a1779502-9347-405b-8005-3bbfd31351f5,Фотография. «Приход первого поезда в Леприндо»,фотографии и негативы
7c6ad053-9053-4797-b075-f99e4fed7d0a,портрет. Пантилов П.Д. (1936-1983). Ольтехский наслег.  портрет. ч/б снимок,фотографии и негативы
f42cf6bb-2b73-4f87-b4e1-2cd636ef29ed,"Знак ""Чемпион ЯАССР"". Первенство республики по легкой атлетике 1978г.- на 5000м.",предметы нумизматики
284054da-ee47-4050-aaa3-d335f9ee932b,Фото черно-белое на паспарту Фрагмент городского сквера.,фотографии и негативы
61edafbc-dc11-4ce7-a861-ff1339d66687,"Мандат № 180  делегата Кулькова Ивана Яковлевича 29 Бурейской районной партийной конференции . п.Бурея, 26.11.1983 год.",документы
819db78a-d679-476d-bb3c-8786d8b226f0,"Книга-миниатюра. Джек Лондон. «Двойственная личность».
Перевод с английского Зин. Львовского.
Общедоступная библиотека «Сеятель». № 160.
Отдел художественной литературы.
Книгоиздательство «Сеятель» Е. В. Высоцкого. Ленинград. 1925 г. Типография, литография и переплётная партшколы «Красного Октября». Ленинград. Тираж 15 000 экз. 48 с.
Из личной библиотеки Ивана Матвеевича Лебедева.",редкие книги
f784955d-bae9-4662-8528-9a0de896f092,Фрагмент керамики.,предметы археологии
e583a910-8d4d-4261-8db4-eef888c52758,"Малыш. Чум. Озорник. Из цикла ""Портрет Севера"" (три изображения на одном листе)",графика
a885b000-3a56-4f39-8f45-8c586dcb941c,"Фотография «Женщины-участницы ВОВ», «Вечер для ветеранов ВОВ в Управлении бытового обслуживания населения»",фотографии и негативы
371c542d-04b2-4a43-b1fa-2388ee766461,"Брошюра. Смета Канцелярии Совета Министров на 1908 год. - Б.м.и., [1907]. -  8 с.; табл.",редкие книги
c24d749b-8c69-49d0-8cd4-fd3e1354806e,"Фотография. Подруга А. Ф. – на память Усковой А. А. Из комплекта ""Фотографии семьи Усковых, конца XIX - нач. XX вв.""",фотографии и негативы
daf078b2-cc33-45c8-816e-554dfae801f3,Ружье с укороченным стволом,оружие
6ce6165f-edee-427e-94c5-eaaf849ae618,Подшивка «Распорядки дня директора Норильского комбината Б.И. Колесникова за 1978 год»,документы
77b0949f-a734-4834-b8cf-ae439b64f4ce,Экслибрис С. Ивенского. Из лучших...,графика
f0025df4-7273-496e-8eed-77695adadef0,"Литературно-художественные сборники «Недра». Кн. 5. М., «Мосполиграф», 1924.",редкие книги
289a6ff0-93cb-4c8c-8758-00aff4b52e5e,Копейка. Иоанн IV.,"предметы прикладного искусства, быта и этнографии"
ad61e0a2-1366-40e6-8313-6f59dcad7df5,Монета. 5 копеек. 1802 г.,предметы нумизматики
e105d211-0c9c-4155-b3f6-4eb6fba6e2f9,Удостоверение – справка № 28/7  Б. С.  Шустова.,документы
eb9966a6-1b9f-4084-840a-ddbb59ba3219,"""Пластинка""-диск.","предметы прикладного искусства, быта и этнографии"
50186c8a-6aed-4971-90ae-81f6b135c336,"Извлечение из журнала. Musical Times [Ксерокопия]. - A. Orlova. Tchaikovsky. Self-Portraits / А. Орлова. Чайковский. Автопортрет. - б/м, 1991",предметы печатной продукции
f3df4c6e-2eab-487e-a448-0e84ecc91284,Стенка лепного сосуда (фрагмент).,предметы археологии
60d91505-60d8-4137-9fb6-ed7489bfed22,Книга. Рассказы бабушки.,редкие книги
1de30df8-7849-4cb0-a677-0cf9b5ae93a2,Чернильница сувенирная.,"предметы прикладного искусства, быта и этнографии"
d8e18c60-5bb0-4a65-be39-3b8a2d1929fd,Отщепы со следами работы,предметы археологии
1767fad7-5c69-4442-9169-5bd190c5e802,Фрагмент неорнаментированной стенки сосуда,предметы археологии
740f5062-f4ea-406a-b08b-dc147f7b4fc3,"Открытое письмо с репродукцией картины С. Соломко "" У забора """,графика
d74bc7c0-fbd8-422f-82a5-67473243ecb1,Керамика. ГИР-92 Р1. кв 23-24. 360-380.,предметы археологии
dc2efde4-cec8-413c-a7e8-0185570b7824,Камень.,предметы археологии
7aec98c6-b45d-497d-8bcf-7a08cc97b361,Фото. Падеринская волость. Сельскохозяйственный винокуренный завод Ушковой.,фотографии и негативы
4cb352f3-8523-4d6f-ba40-813c38b9565a,"Воспоминания Зайцева М. - бывшего комиссара, заместителя председателя Реквизиционной комиссии 4-й кавдивизии Первой Конной армии ""К 40-й годовщине создания Первой Конной армии - 19 ноября 1919 года""",документы
15971486-a3fe-483b-a046-5c5468767dec,Фото. Встреча партизан гражданской войны на горе Извоз,фотографии и негативы
8abe3bf3-02e1-4864-9e2e-135a40be3847,"Набросок ""Портрет мужчины"", автор Лунев Н.А.",графика
3e818834-9487-4b39-9ea7-2a8593df4e84,Стенки гончарного сосуда фрагмент,предметы археологии
bc1c7551-f1c6-4f48-b107-3f79d5b2a4f7,"Открытка почтовая черно-белая, документальная. Туапсе. Буря на море. Начало ХХ в.",предметы печатной продукции
da50c83d-302b-4821-a745-e88d88c1ca54,"Пластинка граммофонная виниловая, в конверте. Из коллекции пластинок граммофонных виниловых и гибких","предметы прикладного искусства, быта и этнографии"
4f1be187-7d6c-4ff7-9b05-4506b8d503f5,Фрагмент неорнаментированной стенки сосуда,предметы археологии
998d57a4-cacb-46af-b0bd-9221404a38f8,Поздравление политотделом,документы
eb2ac922-4813-4f46-b9b0-334d82756a53,Плитка,предметы археологии
7fefe92a-3571-4d62-9107-90f462cb5a83,"Фигурка ""Трубач пехотных полков русской армии конца XIX - начала XX вв.""",прочие
1b8cb210-a51f-4bc7-828d-a197b0b009d5,"Грамота Комитета по физической культуре и спорту Мурманской области за 1 место в Чемпионате Мурманской области по легкоатлетическому кроссу, посвященному Всероссийскому олимпийскому Дню бега на дистанции 3 км 12 м. г. Мурманск. 2008 г. Из комплекса материалов Вильцена Вадима Сергеевича, мастера спорта, участника первого лыжного марафона в Мурманске (1974), участника праздников Севера, ветерана спорта.",документы
fe65b17c-bffa-4331-bcaf-7adb0722f77c,Клише. Пастух.,графика
9a86e881-7c3b-4610-8d1c-15ebc6f728c4,Монета. Россия. Екатерина II (1762-1796). 5 копеек,предметы нумизматики
9039a505-f4ba-40af-857d-b79cb23f054b,Негатив. Встреча выпускников Архангельской школы ФЗО приехавших в 1943 г. на восстановление Сталинграда.,фотографии и негативы
4b2c4463-e392-4af5-a1fd-cda77c8e3582,Фотокопия. Чайковский М.И. - дядя Давыдова Ю.Л.,фотографии и негативы
09dfeec7-5ed7-408f-8176-f8a10c2199ce,"Листовка фестивальная ""Фестиваль. Москва 1957"" с нотами песни ""Ты да я""",графика
376788b9-6473-4e07-bca2-4eaf1701ed6d,Фрагмент неорнаментированной стенки сосуда,предметы археологии
1f8f33db-182d-46d3-b3d7-1bfeb40d3873,Фрагмент неорнаментированной стенки сосуда,предметы археологии
46142d61-9150-478e-8f8c-415886aceaa4,Монета. Россия. Екатерина II (1762-1796). 2 копейки,предметы нумизматики
2d622f92-c90f-46de-9caa-b76a04340944,Монета. Россия. Екатерина II (1762-1796). 5 копеек,предметы нумизматики
a8b71ebc-adc6-48b2-916f-38420dc2db05,"Картина. А.И.Мичков ""Разлив на Оке""",живопись
6130ebbf-32aa-4ba4-b69c-dad2149318a6,"Подборка ""Королевская галерея костюмов"". ""Неаполитанское королевство"".",графика
a172d220-d37f-443d-a99d-c5e34356af1e,Газета красноармейская «За Родину». №74.  5 июня  1943 г. ,фотографии и негативы
9502c262-a982-4506-b2d9-9505c728efb1,Фрагмент орнаментированной шейки сосуда,предметы археологии
920f8f45-4f58-40be-8b58-59ccd00e3826,"Открытое письмо с иллюстрацией к сказке ""Снежная королева""",графика
0192f595-9de6-4478-ab50-6302c8b55cd6,Тесловидное орудие,предметы археологии
fb402ca9-7a9c-4b70-bca0-9746a0e92363,Монета. Россия. Екатерина II (1762-1796). 5 копеек,предметы нумизматики
d830846d-8aba-4092-8607-1633058ad735,Газета красноармейская «За Родину».  14 августа 1943 г. ,фотографии и негативы
8a96b1f5-e5bc-40f1-967d-dd050c0fdeb8,Аметистовая щетка,предметы минералогической коллекции
72767594-8377-4a46-a196-bfda9a6eb992,Стенки лепного сосуда фрагмент,предметы археологии
1b6bf2b1-6354-45f4-98ea-ff79c61d0099,"Почтовая карточка  ""Ярмарка. Нижегородская улица""",графика
680a00fd-3e87-4896-aa32-a2ced7b11adf,"Сервиз тонкостенный чайный ""Нежность""",прочие
c0c558ba-8bb3-409d-9267-b6fd644e9547,"Фотопортрет погрудный ""Макарьина Вера Александровна (1912-1971 гг.), уроженка г. Вельска, заслуженный учитель школы РСФСР""",фотографии и негативы
8dc3a2a3-6df5-4b01-87b3-ade9acf5c45a,"Газета ""Голос Приазовья"" №6 (344). Главный редактор Т. Чумак.",предметы печатной продукции
5e3a6201-ec63-42d6-9623-9fd2f48b48f4,Открытка,прочие
51a4b554-4ac0-4a5c-a42b-523d296b4758,Монета. Россия. Екатерина II (1762-1796). 5 копеек,предметы нумизматики
9b9beac6-e79f-4ec2-b087-855820b8dbd4,Фотонегатив. ст. Урай (наводнение 1950г),прочие
f3e35ee8-a2a6-437c-b0a1-60c25d435d88,Монета. Россия. Екатерина II (1762-1796). 5 копеек,предметы нумизматики
71d57a5e-6ce2-4a12-9ff3-f968555268aa,"Журнал ""Юность"" № 10.",предметы печатной продукции
748a5793-d31a-4e2c-b46a-5989899d1ed1,Газета красноармейская «За Родину». №102. 2 августа 1943 г.  ,фотографии и негативы
79695e74-e7fa-42b7-a95b-00f60c20d280,Отщеп со следами обработки,предметы археологии
9edfde9a-374f-4d78-94d3-1eafbadcfa1b,"Открытое письмо ""Священное писание. Картины из Ветхого завета""",графика
c02c30de-af9d-4fc2-9a0c-e760214abe44,Монета. Россия. Екатерина II (1762-1796). 5 копеек,предметы нумизматики
192f72fc-250f-401f-80d0-52b178375a4a,Монета. Россия. Екатерина II (1762-1796). 5 копеек,предметы нумизматики
a911e170-01d0-4f9d-a8c8-8d4951932e2f,Фотография. Один из домов антарктической станции Новолазаревская. 8-я САЭ.,фотографии и негативы
e5442076-8319-4f02-b4a0-f6758405006f,"Значок нагрудный ""1870-1970 Ленин""",предметы нумизматики
ec51e097-32d5-4968-8661-142e46d4486d,Фрагмент неорнаментированной стенки сосуда,предметы археологии
ca82b23d-3b35-4a99-961c-66e2c6e0d462,На даче.,предметы печатной продукции
c336790c-dc1b-4a0b-9693-73808bb03aa0,"Брусок цельный, деревянный для ремонта или изготовлении обуви","предметы прикладного искусства, быта и этнографии"
399ce073-3d0b-451f-bc89-8a7f84f16d08,"Фото ""Занятия в кружке"" из альбома ""Пионерлагерь 1962 год.""",фотографии и негативы
43d5ced3-948b-48cd-97ff-a969d58a7092,Фторапатит (франколит).,предметы минералогической коллекции
dbae278e-95dd-4ac9-81b4-0368bda10f5b,Открытка,прочие
79e0c3bf-5c74-4257-b83e-e70a1a406ef9,Фото второго секретаря Апшеронского райкома партии М.П. Морева с артистом И. Переверзевым,фотографии и негативы
f2e1a9ed-a543-46d0-ab76-bd570a1e2986,Карточка. Миликас Р.Э. - бригадир докеров-механизаторов Клайпедского порта. Делегат XXVII съезда КПСС,фотографии и негативы
267d1ac4-b6a7-446b-89b8-bf5b0e3e9376,Рисунок. Лариса.,графика
0677f346-0fb4-4c72-9620-19f32dea755b,"Либретто оперы. Хованщина. Народная музыкальная драма в 5-ти действиях. - Санкт-Петербург: В. Бессель и К, 1883",редкие книги
6b869ca8-83aa-4aae-bdbe-3d576f7beba1,"Пиала деревянная, расписанная хохломской росписью, покрыта пищевым лаком; использовалась для чаепития, а также как креманка или розетка. СССР, 1980-е гг. Фабрика «Хохломская роспись».","предметы прикладного искусства, быта и этнографии"
63f151fb-deac-4f5c-8076-74b35680f391,"Слайд. ""Успенский собор""",фотографии и негативы
4cf090c0-3b9f-4327-926c-ff740f6813b8,"Крест ""Лемнос"".",предметы нумизматики
0ba32eb8-f4cf-4711-b816-5061e242ec11,Фотокопия. Семья Давыдовых.,фотографии и негативы
f0e7daf0-07a6-4518-85c5-ad799da6c46a,"Фотография ""Районный праздник Урожая-80 в пионерском лагере ""Лесная сказка"".",фотографии и негативы
497d2a9f-7c07-458d-a4c2-756a3111f1de,"Из серии ""Японские гравюры"".",графика
7145a7c6-034e-4c41-aeda-07c7ded58242,Фрагмент неорнаментированной стенки сосуда,предметы археологии
de6681e7-da90-4b09-8a6b-c367419a1f6f,"Фотоотрытка ""Наволок у реки Ваги. Сенокос""",фотографии и негативы
a3f99720-65fc-4791-99de-0ae638c362be,"Марка почтовая. ""Генерал Х. де Сан-Мартин"". 3 центаво",предметы печатной продукции
2042b19a-39c3-47f4-8ac2-137196dacac9,Открытка,прочие
c5771fce-9461-4a5b-9832-ba732e8becf2,Фотография черно-белая. Ручей,фотографии и негативы
96d0dac0-af69-45d2-b3cb-e7bc7273f9b7,"Фотооткрытка. Эберг Л.А. в роли. ""Безрассудство и счастье"". Москва, Театр имени В.Ф. Комиссаржевской",фотографии и негативы
94f52805-b93a-48f5-b90a-2334beb546fd,Проведение дня кооперации в деревне. 1926. ГРМ. Репродукция работы худ. Чепцова Е. М.   ,предметы печатной продукции
6ce9a58c-2a6d-47e6-9cba-52779116b3f4,Картина. Осень,живопись
4c9e9776-ba79-4cdb-acf4-75909594bc6d,Подшивка журнала  Berliner Leben . Zeitschrift für Schönheit & Kunst.,редкие книги
0cff2711-5e03-4bec-ac24-fb09c459880f,"Фотография. Сцена из спектакля ""Скованные одной цепью""",фотографии и негативы
4583c063-7f6e-4c23-ae22-099095283cc1,Фото.,документы
545016eb-3e68-4d38-ac4e-34df14f998d7,"Книга. ""Следы на обочине"". Стихотворения. Т. 3",редкие книги
5d54bc4d-8ee6-40c8-beca-29625ec5aa25,"Разовый билет № 00141105 Октябрьской железной дороги Народного комиссариата путей сообщения, выданный студенту Ленинградского института инженеров путей сообщения В. Осинскому для бесплатного проезда от ст. Ленинград до ст. Тифлис и обратно в период с 31 декабря 1928 г. по 31 марта 1929 г.",документы
066fa22e-cc74-4115-ba56-a4eb15e34b1a,Фишка для игры в карты.,"предметы прикладного искусства, быта и этнографии"
02a3546e-7717-4d25-bd2d-e5d6f80b849c,"Плакат. Моноспектакль Андреса Отса. ""Цветы для Элджернона"" (Реж. Унт М., худ. Ваус Я.). Эстония, Таллин. ТЮЗ (Молодежный т-р)",документы
8cd68b2f-1301-4fed-8d4e-7b6e4c4095d5,"Образец ткани Киржачского шелкового комбината ""Офелия""",прочие
b0630639-1f94-4c5b-bdca-58c2bbd0f450,"Рыбак с сетью. Серия ""Рыбаки Азербайджана"". Репродукция работы худ. Цигаля В.   ",предметы печатной продукции
514c5743-b5d0-40f0-ab5a-0941bddaa039,"Электропылесос ""Сатурн-2"" (""SATURNAS-2"") № 59214.",прочие
d0d80c87-5189-41a6-bd6a-01b0e304cdba,Фотография. Петровский А.с группой артистов. Харьков. Архив Шатровой Е.М.,документы
7ce1c466-0227-4701-9064-4695da1055cf,Археологический предмет глинянной посуды,предметы археологии
b418aef6-e229-42fa-a410-4c9e46e8854e,Утро в скалах. Репродукция работы худ. Черкеса Д. Я.   ,предметы печатной продукции
3fbc0310-0851-40c6-b655-940e94b55185,"Картина ""Море""",живопись
12759b01-6c86-4469-8761-68cf8d3e3a01,Уведомление исполбюро профкомов Ленинградского института инженеров путей сообщения В.В. Осинскому о выделении его представителем для участия в заседании совета Водного факультета.,документы
